bank,loan_type,interest_rate_yr1_to_3,mrr,mlr,mor,last_updated,promotion
กรุงเทพ,Home Loan (Base Rates),N/A (Use Base MRR),6.5000%,6.3500%,6.5000%,2026-04-22,See official website for active campaigns
กรุงไทย,Home Loan (Base Rates),N/A (Use Base MRR),6.8450%,6.3000%,6.2700%,2026-04-22,See official website for active campaigns
กสิกรไทย,Home Loan (Base Rates),N/A (Use Base MRR),6.5800%,6.5200%,6.3400%,2026-04-22,See official website for active campaigns
ไทยพาณิชย์,Home Loan (Base Rates),N/A (Use Base MRR),6.5750%,6.3500%,6.2750%,2026-04-22,See official website for active campaigns
กรุงศรีอยุธยา,Home Loan (Base Rates),N/A (Use Base MRR),6.6700%,6.5500%,6.3750%,2026-04-22,See official website for active campaigns
ทหารไทยธนชาต,Home Loan (Base Rates),N/A (Use Base MRR),7.1050%,6.9500%,6.6000%,2026-04-22,See official website for active campaigns
ยูโอบี,Home Loan (Base Rates),N/A (Use Base MRR),8.0800%,7.5200%,7.2000%,2026-04-22,See official website for active campaigns
ซีไอเอ็มบี ไทย,Home Loan (Base Rates),N/A (Use Base MRR),8.5250%,7.6250%,7.5000%,2026-04-22,See official website for active campaigns
สแตนดาร์ดชาร์เตอร์ด (ไทย),Home Loan (Base Rates),N/A (Use Base MRR),%,7.0000%,7.0000%,2026-04-22,See official website for active campaigns
ทิสโก้,Home Loan (Base Rates),N/A (Use Base MRR),7.4000%,7.3500%,7.1000%,2026-04-22,See official website for active campaigns
เมกะ สากลพาณิชย์,Home Loan (Base Rates),N/A (Use Base MRR),6.7500%,6.5000%,7.0000%,2026-04-22,See official website for active campaigns
เกียรตินาคินภัทร,Home Loan (Base Rates),N/A (Use Base MRR),7.4000%,7.4500%,7.2500%,2026-04-22,See official website for active campaigns
แลนด์ แอนด์ เฮ้าส์ ,Home Loan (Base Rates),N/A (Use Base MRR),8.1800%,7.2250%,7.3000%,2026-04-22,See official website for active campaigns
ไอซีบีซี (ไทย),Home Loan (Base Rates),N/A (Use Base MRR),7.1500%,7.0750%,7.0750%,2026-04-22,See official website for active campaigns
ธนาคารไทยเครดิต จำกัด (มหาชน),Home Loan (Base Rates),N/A (Use Base MRR),9.6000%,8.7300%,8.1300%,2026-04-22,See official website for active campaigns
แห่งประเทศจีน(ไทย),Home Loan (Base Rates),N/A (Use Base MRR),7.4000%,7.2500%,7.5000%,2026-04-22,See official website for active campaigns
ซูมิโตโม มิตซุย ทรัสต์  (ไทย),Home Loan (Base Rates),N/A (Use Base MRR),%,6.3000%,6.8000%,2026-04-22,See official website for active campaigns
