province,province_en,name,name_en,category,layer,layer_name,lat,lon,source
ขอนแก่น,Khon Kaen,KKU Learning Center,KKU Learning Center,มหาวิทยาลัย,1,Primary,16.476738,102.8236125,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,Mekong Institute,Mekong Institute,มหาวิทยาลัย,1,Primary,16.4737243,102.8285149,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,National Biological Control Research Center,National Biological Control Research Center,มหาวิทยาลัย,1,Primary,16.4735088,102.811292,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,กองกิจการนักศึกษา,Student Affairs Division,มหาวิทยาลัย,1,Primary,16.4778973,102.8202568,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะบริหารธุรกิจและการบัญชี,Faculty Of Business Administration and Accountancy,มหาวิทยาลัย,1,Primary,16.4739384,102.8256076,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะพยาบาลศาสตร์,Faculty of Nursing,มหาวิทยาลัย,1,Primary,16.4695524,102.825094,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะมนุษยศาสตร์และสังคมศาสตร์,Faculty of Humanities and Social Sciences,มหาวิทยาลัย,1,Primary,16.4755065,102.8262861,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะวิทยาศาสตร์,Faculty of Science,มหาวิทยาลัย,1,Primary,16.475628,102.8235807,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะวิศวกรรมศาสตร์,Faculty of Engineering,มหาวิทยาลัย,1,Primary,16.4725469,102.822909,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะศิลปกรรมศาสตร์,Faculty of Fine and Applied Arts,มหาวิทยาลัย,1,Primary,16.4693332,102.8176599,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะสถาปัตยกรรมศาสตร์,Faculty of Architecture,มหาวิทยาลัย,1,Primary,16.4717839,102.82764,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะสัตวแพทยศาสตร์,Faculty of Veterinary Medicine,มหาวิทยาลัย,1,Primary,16.4783999,102.8312002,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะสาธารณสุขศาสตร์,Faculty of Public Health,มหาวิทยาลัย,1,Primary,16.4704803,102.8251806,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะเกษตรศาสตร์,Faculty of Agriculture,มหาวิทยาลัย,1,Primary,16.4764079,102.8218693,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะเทคนิคการแพทย์,Faculty of Associated Medical Sciences,มหาวิทยาลัย,1,Primary,16.4686958,102.8275336,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะเทคโนโลยี,Faculty of Technology,มหาวิทยาลัย,1,Primary,16.4739852,102.8214414,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,คณะเภสัขศาสตร์,Faculty of Pharmaceutical Sciences,มหาวิทยาลัย,1,Primary,16.4705936,102.8277097,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,พืซสวน,Horticulture,มหาวิทยาลัย,1,Primary,16.4737088,102.813113,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,มหาวิทยาลัยขอนแก่น,Khon Kaen University,มหาวิทยาลัย,1,Primary,16.461702,102.8173367,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,มหาวิทยาลัยภาคตะวันออกเฉียงเหนี่อ,North-Eastern University,มหาวิทยาลัย,1,Primary,16.4239795,102.8155886,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย,Mahachulalongkornrajavidyalaya University,มหาวิทยาลัย,1,Primary,16.4187025,102.8354935,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,มหาวิทยาลัยมหามกุฏราชวิทยาลัย,Mahamakut Buddhist University Isan Campus,มหาวิทยาลัย,1,Primary,16.4615097,102.854545,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสสาน,Rajamangala University of Technology Isan,มหาวิทยาลัย,1,Primary,16.4306365,102.8635031,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,วิทยาลัยการปกครองท้องถิ่น,College of Local Administration,มหาวิทยาลัย,1,Primary,16.4735867,102.8312805,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,ศูนย์หม่อนไหมเฉลิมพระเกียรติฯ ขอนแก่น,Queen Sirikit Sericulture Center Khon Kaen,มหาวิทยาลัย,1,Primary,16.4567529,102.721526,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,ศูนย์เมล็ดพันธุ์ข้าว,Rice Seed Centre,มหาวิทยาลัย,1,Primary,16.5648696,102.816005,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,สำนักงานอธิการบดี,Office of the President,มหาวิทยาลัย,1,Primary,16.4712297,102.8162225,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,สำนักงานอำนวยการ (ศึกษาศาสตร์),,มหาวิทยาลัย,1,Primary,16.4503396,102.8168404,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,สำนักวิจัยและพัฒนาการเกษตรเขตที่ 3,Office of Agricultural Research and Development Region 3,มหาวิทยาลัย,1,Primary,16.47141,102.833344,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,สำนักเทคโนโลยีดิจิทัล มข.,Office of Digital Technology KKU,มหาวิทยาลัย,1,Primary,16.4740063,102.824791,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,สโมสรบุคลากรมหาวิทยาลัยขอนแก่น,KKU Staff Club,มหาวิทยาลัย,1,Primary,16.4741708,102.8278706,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,หมวดพืชไร่,Muat Phuet Rai,มหาวิทยาลัย,1,Primary,16.4704132,102.811156,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,องค์การนักศึกษา มหาวิทยาลัยขอนแก่น,Khon Kaen University Student Union,มหาวิทยาลัย,1,Primary,16.477584,102.8217352,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,อาคารพิมล กลกิจ,Bimala Kalakicha Building,มหาวิทยาลัย,1,Primary,16.4741758,102.8270533,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,อาคารเรียนรวมและห้องปฏิบัติการวิจัยคณะแพทยศาสตร์,Faculty of Medicine,มหาวิทยาลัย,1,Primary,16.4702272,102.828428,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายนานาชาติ,Demonstration School Khon Kaen University International Division,มหาวิทยาลัย,1,Primary,16.4501564,102.816116,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายประถมศึกษา,Khon Kaen University Demonstration Elementary School,มหาวิทยาลัย,1,Primary,16.4501333,102.818308,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),"Demonstration School Khon Kaen University, Secondary (Suksasart)",มหาวิทยาลัย,1,Primary,16.4516554,102.818404,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,ขอนแก่นเทคโนโลขีพณิชยการ,K-Tech,วิทยาลัย,1,Primary,16.4529979,102.84525,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,วิทยาลัยการสาธารณสุขสิรินธร,Sirindhorn College of Public Health,วิทยาลัย,1,Primary,16.424917,102.8440162,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,วิทยาลัยบัณฑิตเอเชีย,College of Asian Scholars,วิทยาลัย,1,Primary,16.4349317,102.8606352,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,วิทยาลัยสารพัดช่างขอนแก่น,Khon Kaen Polytechnic College,วิทยาลัย,1,Primary,16.3310098,102.7990405,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,วิทยาลัยอาชีวศึกษาขอนแก่น,Khon Kaen Vocational College,วิทยาลัย,1,Primary,16.4371147,102.8390346,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,วิทยาลัยเทคนิค ขอนแก่น,Khon Kaen Technical College,วิทยาลัย,1,Primary,16.4282225,102.846827,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,วิทยาลัยเทคโนโลยีขอนแก่น,Khon Kaen Technology College,วิทยาลัย,1,Primary,16.455413,102.8295209,OpenStreetMap / Overpass API
ขอนแก่น,Khon Kaen,โรงเรียนขอนแก่นบริหารธุรกิจ,KBAC,วิทยาลัย,1,Primary,16.4545827,102.8422247,OpenStreetMap / Overpass API
