province_name,district_name,tambon_name,is_tambon,total_population,male,female,age_children,age_working,age_elderly
ขอนแก่น,เมืองขอนแก่น,,False,99495,48020,51475,14112,71423,13338
ขอนแก่น,เมืองขอนแก่น,สำราญ,True,10690,5326,5364,1434,7367,1475
ขอนแก่น,เมืองขอนแก่น,โคกสี,True,9115,4441,4674,1394,6560,1151
ขอนแก่น,เมืองขอนแก่น,ท่าพระ,True,10709,5238,5471,1614,7521,1555
ขอนแก่น,เมืองขอนแก่น,พระลับ,True,23530,11122,12408,3304,17137,3010
ขอนแก่น,เมืองขอนแก่น,บ้านหว้า,True,10959,5341,5618,1391,7876,1672
ขอนแก่น,เมืองขอนแก่น,แดงใหญ่,True,11994,5722,6272,1911,8813,1236
ขอนแก่น,เมืองขอนแก่น,ดอนช้าง,True,4840,2338,2502,678,3513,637
ขอนแก่น,เมืองขอนแก่น,ดอนหัน,True,10268,4943,5325,1403,7375,1471
ขอนแก่น,เมืองขอนแก่น,บึงเนียม,True,7390,3549,3841,983,5261,1131
ขอนแก่น,บ้านฝาง,,False,49791,24745,25046,6955,35430,7290
ขอนแก่น,บ้านฝาง,หนองบัว,True,7262,3552,3710,1005,5214,1029
ขอนแก่น,บ้านฝาง,ป่าหวายนั่ง,True,7724,3876,3848,1038,5417,1262
ขอนแก่น,บ้านฝาง,โนนฆ้อง,True,6175,3035,3140,863,4411,894
ขอนแก่น,บ้านฝาง,บ้านเหล่า,True,10234,5098,5136,1354,7289,1576
ขอนแก่น,บ้านฝาง,ป่ามะนาว,True,6293,3190,3103,902,4468,920
ขอนแก่น,บ้านฝาง,บ้านฝาง,True,6291,3127,3164,878,4457,898
ขอนแก่น,บ้านฝาง,โคกงาม,True,5812,2867,2945,915,4174,711
ขอนแก่น,พระยืน,,False,24586,12046,12540,3160,17473,3900
ขอนแก่น,พระยืน,พระยืน,True,9715,4836,4879,1334,6906,1446
ขอนแก่น,พระยืน,พระบุ,True,4212,2047,2165,491,3002,711
ขอนแก่น,พระยืน,หนองแวง,True,5040,2484,2556,648,3595,790
ขอนแก่น,พระยืน,ขามป้อม,True,5619,2679,2940,687,3970,953
ขอนแก่น,หนองเรือ,,False,82509,40685,41824,11156,58575,12644
ขอนแก่น,หนองเรือ,หนองเรือ,True,6752,3298,3454,896,4710,1066
ขอนแก่น,หนองเรือ,บ้านเม็ง,True,11399,5516,5883,1451,7992,1950
ขอนแก่น,หนองเรือ,บ้านกง,True,4836,2400,2436,655,3433,744
ขอนแก่น,หนองเรือ,ยางคำ,True,9305,4602,4703,1268,6587,1442
ขอนแก่น,หนองเรือ,จระเข้,True,6436,3217,3219,809,4578,1042
