province,province_en,property_type,sample_count,average_price,median_price,average_sqm,price_per_sqm,currency,source,last_updated
ขอนแก่น,Khon Kaen,House,9,3010000.0,1900000.0,101.4,29684.42,THB,DotProperty,2026-04-23 15:07:18
ขอนแก่น,Khon Kaen,Condo,3,1713333.33,1690000.0,31.25,54832.52,THB,DotProperty,2026-04-23 15:07:18
ขอนแก่น,Khon Kaen,Land,16,2262743.75,1695000.0,3881.8,582.91,THB,DotProperty,2026-04-23 15:07:18
ขอนแก่น,Khon Kaen,Townhouse,1,1900000.0,1900000.0,0.0,0.0,THB,DotProperty,2026-04-23 15:07:18
อุบลราชธานี,Ubon Ratchathani,House,9,4361666.67,2290000.0,341.12,12786.12,THB,DotProperty,2026-04-23 15:07:22
อุบลราชธานี,Ubon Ratchathani,Condo,1,1530000.0,1530000.0,34.25,44671.53,THB,DotProperty,2026-04-23 15:07:22
อุบลราชธานี,Ubon Ratchathani,Land,14,39210714.29,8437500.0,25104.23,1561.92,THB,DotProperty,2026-04-23 15:07:22
ประจวบคีรีขันธ์,Prachuap Khiri Khan,House,7,8121428.57,8500000.0,345.51,23505.33,THB,DotProperty,2026-04-23 15:07:25
ประจวบคีรีขันธ์,Prachuap Khiri Khan,Condo,7,6290000.0,4000000.0,87.35,72012.69,THB,DotProperty,2026-04-23 15:07:25
ประจวบคีรีขันธ์,Prachuap Khiri Khan,Land,7,12207250.0,4850000.0,10237.71,1192.38,THB,DotProperty,2026-04-23 15:07:25
ประจวบคีรีขันธ์,Prachuap Khiri Khan,Townhouse,1,2490000.0,2490000.0,0.0,0.0,THB,DotProperty,2026-04-23 15:07:25
อุดรธานี,Udon Thani,House,12,7932916.67,5249500.0,224.3,35367.44,THB,DotProperty,2026-04-23 15:07:29
อุดรธานี,Udon Thani,Land,11,3422545.45,2400000.0,5401.82,633.59,THB,DotProperty,2026-04-23 15:07:29
อุดรธานี,Udon Thani,Townhouse,1,1719000.0,1719000.0,25.0,68760.0,THB,DotProperty,2026-04-23 15:07:29
ระยอง,Rayong,House,9,5038888.89,3850000.0,265.86,18953.37,THB,DotProperty,2026-04-23 15:07:33
ระยอง,Rayong,Condo,8,3442500.0,3150000.0,84.96,40517.88,THB,DotProperty,2026-04-23 15:07:33
