province,province_en,property_type,sample_count,average_price,median_price,average_sqm,price_per_sqm,currency,source,last_updated
ขอนแก่น,Khon Kaen,House,10,3509000.0,2650000.0,101.4,34605.52,THB,DotProperty,2026-04-23 09:47:03
ขอนแก่น,Khon Kaen,Condo,3,1713333.33,1690000.0,31.25,54832.52,THB,DotProperty,2026-04-23 09:47:03
ขอนแก่น,Khon Kaen,Land,15,1780260.0,1590000.0,3607.25,493.52,THB,DotProperty,2026-04-23 09:47:03
ขอนแก่น,Khon Kaen,Townhouse,1,1900000.0,1900000.0,0.0,0.0,THB,DotProperty,2026-04-23 09:47:03
อุบลราชธานี,Ubon Ratchathani,House,9,4323444.44,2290000.0,252.0,17156.53,THB,DotProperty,2026-04-23 09:47:10
อุบลราชธานี,Ubon Ratchathani,Condo,1,1530000.0,1530000.0,34.25,44671.53,THB,DotProperty,2026-04-23 09:47:10
อุบลราชธานี,Ubon Ratchathani,Land,14,39210714.29,8437500.0,25104.23,1561.92,THB,DotProperty,2026-04-23 09:47:10
ประจวบคีรีขันธ์,Prachuap Khiri Khan,House,7,8121428.57,8500000.0,345.51,23505.33,THB,DotProperty,2026-04-23 09:47:13
ประจวบคีรีขันธ์,Prachuap Khiri Khan,Condo,7,6290000.0,4000000.0,87.35,72012.69,THB,DotProperty,2026-04-23 09:47:13
ประจวบคีรีขันธ์,Prachuap Khiri Khan,Land,8,14670800.75,9619375.0,13158.0,1114.97,THB,DotProperty,2026-04-23 09:47:13
ประจวบคีรีขันธ์,Prachuap Khiri Khan,Townhouse,1,2490000.0,2490000.0,0.0,0.0,THB,DotProperty,2026-04-23 09:47:13
อุดรธานี,Udon Thani,House,12,7924583.33,5249500.0,224.3,35330.29,THB,DotProperty,2026-04-23 09:47:19
อุดรธานี,Udon Thani,Land,11,3422545.45,2400000.0,5401.82,633.59,THB,DotProperty,2026-04-23 09:47:19
อุดรธานี,Udon Thani,Townhouse,1,1719000.0,1719000.0,25.0,68760.0,THB,DotProperty,2026-04-23 09:47:19
ระยอง,Rayong,House,9,5038888.89,3850000.0,265.86,18953.37,THB,DotProperty,2026-04-23 09:47:23
ระยอง,Rayong,Condo,8,4698750.0,4500000.0,120.34,39046.43,THB,DotProperty,2026-04-23 09:47:23
ระยอง,Rayong,Land,8,18150093.75,7407000.0,20940.8,866.73,THB,DotProperty,2026-04-23 09:47:23
ชลบุรี,Chonburi,House,5,14545000.0,11000000.0,1186.0,12263.91,THB,DotProperty,2026-04-23 09:47:27
ชลบุรี,Chonburi,Condo,14,4328571.43,3540000.0,71.17,60823.22,THB,DotProperty,2026-04-23 09:47:27
ชลบุรี,Chonburi,Land,2,16400000.0,16400000.0,566.0,28975.27,THB,DotProperty,2026-04-23 09:47:27
ชลบุรี,Chonburi,Townhouse,2,1990000.0,1990000.0,165.0,12060.61,THB,DotProperty,2026-04-23 09:47:27
สุรินทร์,Surin,House,9,2872222.22,2765000.0,448.67,6401.68,THB,DotProperty,2026-04-23 09:47:30
สุรินทร์,Surin,Land,15,11348933.33,3500000.0,7871.73,1441.73,THB,DotProperty,2026-04-23 09:47:30
สุรินทร์,Surin,Townhouse,1,900000.0,900000.0,101.0,8910.89,THB,DotProperty,2026-04-23 09:47:30
บุรีรัมย์,Buriram,House,12,3705083.33,3388000.0,230.09,16102.69,THB,DotProperty,2026-04-23 09:47:34
บุรีรัมย์,Buriram,Land,6,1991666.67,1800000.0,4008.0,496.92,THB,DotProperty,2026-04-23 09:47:34
บุรีรัมย์,Buriram,Townhouse,2,3015000.0,3015000.0,155.5,19389.07,THB,DotProperty,2026-04-23 09:47:34
พิษณุโลก,Phitsanulok,House,11,7699090.91,3300000.0,246.22,31268.87,THB,DotProperty,2026-04-23 09:47:37
พิษณุโลก,Phitsanulok,Land,15,11996728.33,2500000.0,9440.25,1270.81,THB,DotProperty,2026-04-23 09:47:37
พิษณุโลก,Phitsanulok,Townhouse,1,2600000.0,2600000.0,0.0,0.0,THB,DotProperty,2026-04-23 09:47:37
เชียงราย,Chiang Rai,House,11,4734545.45,5000000.0,236.6,20010.76,THB,DotProperty,2026-04-23 09:47:41
เชียงราย,Chiang Rai,Land,2,36520000.0,36520000.0,14240.0,2564.61,THB,DotProperty,2026-04-23 09:47:41
เชียงราย,Chiang Rai,Townhouse,1,5300000.0,5300000.0,150.0,35333.33,THB,DotProperty,2026-04-23 09:47:41
