province,district,zone_anchor,lat,lon,val_poi_score,val_road_score,val_population,pop_male,pop_female,age_children,age_working,age_elderly,val_flood_penalty,weather_avg_temp,weather_max_temp_2023,weather_min_temp_2023,weather_max_daily_rain_2023,dominant_occupation,avg_monthly_income,nearby_landmarks,amenity_summary,median_price,reic_absorption,reic_sentiment,strategic_score,zone_grade
ขอนแก่น,เมืองขอนแก่น,KKU Learning Center,16.476738,102.8236125,199,3162,99495,48020,51475,14112,71423,13338,0,28.5,42.2,12.0,145.4,การศึกษา,47307,"พระราชานุสาวรีย์ พระจอมเกล้าฯ, พระบรมรูปพระบรมราชชนก-ชนนี, Sports Complex, columbo craft village, สวนกวี","มหาวิทยาลัย(28), โรงพยาบาล(1), หน่วยงานรัฐ(3), ร้านสะดวกซื้อ(26), โรงเรียน(6), ธนาคาร(6), ร้านขายยา(7), ตู้ATM(11), ปั๊มน้ำมัน(7), คลินิก(2), ซูเปอร์มาร์เก็ต(1), ตลาด(1)",3764274,3.1,50.2,57.13,B
ขอนแก่น,เมืองขอนแก่น,Mekong Institute,16.4737243,102.8285149,206,3135,99495,48020,51475,14112,71423,13338,0,28.5,42.2,12.0,145.4,การศึกษา,47983,"พระราชานุสาวรีย์ พระจอมเกล้าฯ, พระบรมรูปพระบรมราชชนก-ชนนี, Sports Complex, สวนกวี, จงเจริญ หม่าล่า","มหาวิทยาลัย(28), โรงพยาบาล(1), หน่วยงานรัฐ(3), ร้านสะดวกซื้อ(24), โรงเรียน(5), ธนาคาร(6), ร้านขายยา(6), ตู้ATM(11), ปั๊มน้ำมัน(8), คลินิก(3), ตลาด(1)",3764274,3.1,50.2,57.38,B
ขอนแก่น,เมืองขอนแก่น,National Biological Control Research Center,16.4735088,102.811292,137,2254,99495,48020,51475,14112,71423,13338,0,28.5,42.2,12.0,145.4,การศึกษา,41316,"พระราชานุสาวรีย์ พระจอมเกล้าฯ, Sports Complex, columbo craft village, สวนกวี, สระพลาสติก","มหาวิทยาลัย(25), หน่วยงานรัฐ(1), โรงเรียน(2), ร้านสะดวกซื้อ(13), ธนาคาร(3), ตู้ATM(9), ร้านขายยา(1), ปั๊มน้ำมัน(1), คลินิก(1), ตลาด(1)",3764274,3.1,50.2,48.34,C
ขอนแก่น,เมืองขอนแก่น,กองกิจการนักศึกษา,16.4778973,102.8202568,192,3066,99495,48020,51475,14112,71423,13338,20,28.5,42.2,12.0,145.4,การศึกษา,46630,"พระราชานุสาวรีย์ พระจอมเกล้าฯ, พระบรมรูปพระบรมราชชนก-ชนนี, Sports Complex, columbo craft village, สวนกวี","มหาวิทยาลัย(28), โรงพยาบาล(1), หน่วยงานรัฐ(3), ร้านสะดวกซื้อ(23), โรงเรียน(5), ธนาคาร(6), ร้านขายยา(7), ตู้ATM(11), ปั๊มน้ำมัน(5), ซูเปอร์มาร์เก็ต(1), คลินิก(1), ตลาด(1)",3764274,3.1,50.2,53.18,B
ขอนแก่น,เมืองขอนแก่น,คณะบริหารธุรกิจและการบัญชี,16.4739384,102.8256076,206,3139,99495,48020,51475,14112,71423,13338,0,28.5,42.2,12.0,145.4,การศึกษา,47983,"พระราชานุสาวรีย์ พระจอมเกล้าฯ, พระบรมรูปพระบรมราชชนก-ชนนี, Sports Complex, สวนกวี, จงเจริญ หม่าล่า","มหาวิทยาลัย(28), โรงพยาบาล(1), หน่วยงานรัฐ(3), ร้านสะดวกซื้อ(24), โรงเรียน(5), ธนาคาร(6), ร้านขายยา(6), ตู้ATM(11), ปั๊มน้ำมัน(8), คลินิก(3), ตลาด(1)",3764274,3.1,50.2,57.4,B
ขอนแก่น,เมืองขอนแก่น,คณะพยาบาลศาสตร์,16.4695524,102.825094,210,3017,99495,48020,51475,14112,71423,13338,0,28.5,42.2,12.0,145.4,การศึกษา,48370,"พระราชานุสาวรีย์ พระจอมเกล้าฯ, พระบรมรูปพระบรมราชชนก-ชนนี, Sports Complex, สวนกวี, จงเจริญ หม่าล่า","มหาวิทยาลัย(29), โรงพยาบาล(1), หน่วยงานรัฐ(3), วิทยาลัย(1), ร้านสะดวกซื้อ(20), โรงเรียน(6), ธนาคาร(6), ร้านขายยา(6), ตลาด(2), ตู้ATM(6), คลินิก(3), ปั๊มน้ำมัน(7)",3764274,3.1,50.2,56.94,B
ขอนแก่น,เมืองขอนแก่น,คณะมนุษยศาสตร์และสังคมศาสตร์,16.4755065,102.8262861,197,3185,99495,48020,51475,14112,71423,13338,0,28.5,42.2,12.0,145.4,การศึกษา,47113,"พระราชานุสาวรีย์ พระจอมเกล้าฯ, พระบรมรูปพระบรมราชชนก-ชนนี, Sports Complex, สวนกวี, สระพลาสติก","มหาวิทยาลัย(28), โรงพยาบาล(1), หน่วยงานรัฐ(3), ร้านสะดวกซื้อ(24), โรงเรียน(5), ธนาคาร(6), ร้านขายยา(7), ตู้ATM(11), ปั๊มน้ำมัน(7), คลินิก(3), ซูเปอร์มาร์เก็ต(1), ตลาด(1)",3764274,3.1,50.2,57.15,B
ขอนแก่น,เมืองขอนแก่น,คณะวิทยาศาสตร์,16.475628,102.8235807,209,3154,99495,48020,51475,14112,71423,13338,0,28.5,42.2,12.0,145.4,การศึกษา,48273,"พระราชานุสาวรีย์ พระจอมเกล้าฯ, พระบรมรูปพระบรมราชชนก-ชนนี, Sports Complex, columbo craft village, สวนกวี","มหาวิทยาลัย(28), โรงพยาบาล(1), หน่วยงานรัฐ(3), ร้านสะดวกซื้อ(26), โรงเรียน(6), ธนาคาร(6), ร้านขายยา(7), ตู้ATM(11), ปั๊มน้ำมัน(7), คลินิก(2), ซูเปอร์มาร์เก็ต(1), ตลาด(1)",3764274,3.1,50.2,57.66,B
ขอนแก่น,เมืองขอนแก่น,คณะวิศวกรรมศาสตร์,16.4725469,102.822909,214,3056,99495,48020,51475,14112,71423,13338,0,28.5,42.2,12.0,145.4,การศึกษา,48756,"พระราชานุสาวรีย์ พระจอมเกล้าฯ, พระบรมรูปพระบรมราชชนก-ชนนี, Sports Complex, columbo craft village, สวนกวี","มหาวิทยาลัย(28), โรงพยาบาล(1), หน่วยงานรัฐ(3), ร้านสะดวกซื้อ(24), โรงเรียน(6), ธนาคาร(6), ร้านขายยา(6), ตู้ATM(11), คลินิก(3), ปั๊มน้ำมัน(5), ตลาด(1)",3764274,3.1,50.2,57.39,B
ขอนแก่น,เมืองขอนแก่น,คณะศิลปกรรมศาสตร์,16.4693332,102.8176599,225,2915,99495,48020,51475,14112,71423,13338,0,28.5,42.2,12.0,145.4,การศึกษา,49819,"พระราชานุสาวรีย์ พระจอมเกล้าฯ, พระบรมรูปพระบรมราชชนก-ชนนี, Sports Complex, columbo craft village, สวนกวี","มหาวิทยาลัย(31), โรงพยาบาล(1), หน่วยงานรัฐ(1), วิทยาลัย(1), โรงเรียน(5), ร้านสะดวกซื้อ(22), ธนาคาร(6), ร้านขายยา(7), ตู้ATM(11), คลินิก(3), โรงเรียนอนุบาล(1), ปั๊มน้ำมัน(5), ตลาด(1)",3764274,3.1,50.2,57.22,B
